index	chromosome	region_start	region_end	peak_start	peak_end	enlarged_peak_start	enlarged_peak_end	n_genes_in_region	genes_in_region	n_genes_in_peak	genes_in_peak	n_genes_on_chip	genes_on_chip	top 3	amp	cytoband	q_value
37	16	653503	1835550	653503	797786	653503	1754620	78	CCDC154,PRSS29P,C1QTNF8,MSLNL,METRN,MIR3176,MIR5587,ITFG3,HBZ,SNRNP25,POLR3K,WASIR2,WASH4P,DDX11L10,ARHGDIG,CLCN7,HBA1,HBA2,HBM,HBQ1,MPG,NME4,CAPN15,SSTR5,TPSAB1,UBE2I,NPRL3,AXIN1,RGS11,CACNA1H,BAIAP3,RHBDL1,PIGQ,RAB11FIP3,IFT140,TELO2,MSLN,STUB1,MRPL28,TPSD1,TPSG1,DECR2,SOX8,GNG13,LUC7L,CRAMP1L,RAB40C,TMEM8A,CHTF18,RHBDF1,NARFL,TPSB2,PDIA2,UNKL,LMF1,FAM173A,TMEM204,ITFG3,WDR24,HAGHL,C16orf13,FAM195A,GNPTG,RHOT2,HN1L,RPUSD1,TSR3,WFIKKN1,CCDC78,C16orf11,FBXL16,WDR90,NHLRC4,C16orf91,JMJD8,PRR25,PTX4,MIR662,	47	METRN,MIR3176,MIR5587,ITFG3,HBZ,SNRNP25,POLR3K,WASIR2,WASH4P,DDX11L10,ARHGDIG,HBA1,HBA2,HBM,HBQ1,MPG,NME4,CAPN15,NPRL3,AXIN1,RGS11,RHBDL1,PIGQ,RAB11FIP3,STUB1,MRPL28,DECR2,LUC7L,RAB40C,TMEM8A,RHBDF1,NARFL,PDIA2,FAM173A,ITFG3,WDR24,HAGHL,C16orf13,FAM195A,RHOT2,WFIKKN1,CCDC78,C16orf11,FBXL16,WDR90,NHLRC4,JMJD8,	[Not Available]	[Not Available]	[Not Available]	0	16p13.3	0.012791
38	17	79874298	80917016	80787043	80801904	80607989	80898656	6	MIR4525,RAB40B,TBCD,FN3K,FN3KRP,ZNF750,	1	ZNF750,	[Not Available]	[Not Available]	[Not Available]	0	17q25.3	0.0022668
39	17	11990575	11990679	11921944	12047931	11063189	25613634	144	MTND1P15,UBBP4,RN7SL426P,TMEM11,KRT16P3,NOS2P3,USP32P3,UPF3AP2,RN7SL17P,U6|ENSG00000266839.2,CCDC144CP,SNORA31|ENSG00000252349.1,SNORA59B,MIR1180,SNORD3C,SNORD3A,GRAPL,SNORD3D,GRAP,FAM83G,RN7SL627P,ZNF286B,TBC1D28,RN7SL639P,KRT16P1,KRT17P2,SMCR8,snoU13|ENSG00000238691.1,MIR33B,SMCR5,SMCR2,RN7SL775P,TBC1D27,KRT17P1,KRT16P2,USP32P1,RN7SL620P,ZNF287,MIR1288,RN7SL442P,RNA5SP436,ZNF286A,SNORA74|ENSG00000252129.1,CDRT1,RN7SL792P,MIR4731,snoU13|ENSG00000238806.1,CDRT8,CDRT7,HS3ST3B1,CDRT15,SNORA74|ENSG00000252305.1,MIR548H3,RN7SL550P,MIR744,RPL21P122,RN7SL601P,ADORA2B,ALDH3A1,ALDH3A2,COX10,DNAH9,DRG2,FLII,KCNJ12,LLGL1,MFAP4,PMP22,MAPK7,MAP2K3,PRPSAP2,MAP2K4,SHMT1,SREBF1,TOP3A,UBB,ZNF18,RNF112,COPS3,PIGL,NCOR1,ULK2,CCDC144A,ARHGAP44,HS3ST3A1,PEMT,FBXW10,TRIM16,RAI1,AKAP10,EPN2,MPRIP,USP22,TNFRSF13B,DHRS7B,B9D1,TVP23B,MYO15A,TRPV2,RASD1,ALKBH5,TTC19,MED9,SLC47A1,NT5M,ZNF286A,ZNF624,ELAC2,TEKT3,GID4,FAM106A,LRRC48,ATPAF2,SPECC1,MYOCD,ZSWIM7,SMCR7,SLC5A10,TOM1L2,SLC47A2,TRIM16L,TVP23C,CENPV,FLCN,PLD6,USP32P2,CDRT15L2,C17orf103,LINC00670,CDRT4,CCDC144B,FAM27L,LGALS9B,CCDC144NL,C17orf51,TBC1D26,CDRT1,SHISA6,FAM211A,EVPLL,LGALS9C,MTRNR2L1,MIR4522,MIR1269B,	2	MIR744,MAP2K4,	[Not Available]	[Not Available]	[Not Available]	0	17p12	0.074408
40	18	41670955	77109240	48492168	48616656	48477205	48632872	3	RN7SL695P,SMAD4,ELAC1,	2	SMAD4,ELAC1,	[Not Available]	[Not Available]	[Not Available]	0	18q21.2	1.479e-16
41	18	7035915	7555388	7230967	7301170	2806369	12306884	59	CIDEA,ANKRD62,NPIPB1P,APCDD1,snoU13|ENSG00000239031.1,RNA5SP450,RNA5SP449,RN7SL862P,snoU13|ENSG00000239087.1,RN7SL50P,U3|ENSG00000199856.1,SNORA48|ENSG00000212626.1,RN7SL537P,LINC00668,RN7SL282P,RPL6P27,RN7SL723P,TMEM200C,SNORD112|ENSG00000252572.1,snR65|ENSG00000252576.1,LINC00526,LINC00667,C18orf42,snoU13|ENSG00000238790.1,snoU13|ENSG00000238445.1,RN7SL39P,snoU13|ENSG00000238863.1,SNORA70|ENSG00000252258.1,EMILIN2,GNAL,IMPA2,NDUFV2,PTPRM,TGIF1,ZBTB14,MYOM1,NAPG,VAPA,DLGAP1,LPIN2,PPP4R1,MYL12A,RALBP1,RAB31,EPB41L3,ANKRD12,SOGA2,TWSG1,CHMP1B,PIEZO2,MPPE1,ARHGAP28,TXNDC2,L3MBTL4,MYL12B,RAB12,LAMA1,LRRC30,MIR3976,	2	SNORA48|ENSG00000212626.1,LRRC30,	[Not Available]	[Not Available]	[Not Available]	0	18p11.23	0.10154
42	18	36814971	37425523	36786471	37388457	36597868	39534663	2	LINC00669,RN7SKP182,	1	LINC00669,	[Not Available]	[Not Available]	[Not Available]	0	18q12.2	3.8012e-06
43	18	41670955	77109240	71410485	71412563	56472900	77109240	87	RBFA,RBFADN,SALL3,RNA5SP461,SNORA25|ENSG00000199392.1,GALR1,LINC00683,ZNF516,SMIM21,ZADH2,RN7SL551P,RN7SL401P,MIR548AV,RNA5SP460,RN7SL795P,snoU13|ENSG00000238988.1,RN7SL705P,RNF152,RN7SL342P,OACYLP,U8|ENSG00000199713.1,RN7SL112P,BCL2,CDH7,CYB5A,KDSR,GRP,LMAN1,MBP,MC4R,NFATC1,SERPINB2,SERPINB5,SERPINB8,SERPINB10,SERPINB13,PMAIP1,SERPINB3,SERPINB4,ZNF236,SERPINB7,TNFRSF11A,CTDP1,SOCS6,VPS4B,TSHZ1,CD226,TXNL4A,ADNP2,PHLPP1,PIGN,RTTN,KCNG2,CDH20,CDH19,TIMM21,RAX,TMX3,ZCCHC2,ZNF532,ZNF407,CNDP2,KIAA1468,CCDC102B,PQLC1,NETO1,PARD6G,CNDP1,SERPINB12,SERPINB11,SEC11C,DSEL,FAM69C,CCBE1,CBLN2,FBXO15,GTSCR1,DOK6,LINC00305,LINC00908,HMSD,CPLX4,ATP9B,LINC00909,HSBP1L1,C18orf63,MIR5011,	1	RN7SL401P,	[Not Available]	[Not Available]	[Not Available]	0	18q22.3	1.0131e-05
44	19	284018	9515200	1107160	1175396	284018	2218359	86	MIR1227,RN7SL226P,MIR1909,ONECUT3,UQCR11,RN7SL477P,NDUFS7,C19orf24,POLR2E,ARID3A,CFD,MIR4745,RNA5SP462,OR4F17,FAM138F,WASH5P,ATP5D,AZU1,HCN2,BSG,CDC34,CIRBP,CNN2,CSNK1G2,EFNA2,ELANE,GAMT,MKNK2,GPX4,GZMM,PALM,POLRMT,PRTN3,PTBP1,RPS15,STK11,TCF3,MADCAM1,PPAP2C,AP3D1,MED16,FSTL3,APC2,ABCA7,UQCR11,SBNO2,HMHA1,SHC2,DAZAP1,FGF22,THEG,MBD3,MIER2,PCSK4,PLEKHJ1,BTBD2,RNF126,WDR18,REXO1,LPPR3,ABHD17A,KLF16,DOT1L,KISS1R,MUM1,MIDN,R3HDM4,TMEM259,TPGS1,REEP6,IZUMO4,SCAMP4,ADAT3,GRIN3B,MOB3A,MISP,PLK5,C2CD4C,C19orf25,ATP8B3,C19orf26,ODF3L2,ADAMTSL5,MEX3D,PRSS57,MIR3187,	1	SBNO2,	[Not Available]	[Not Available]	[Not Available]	0	19p13.3	8.6035e-06
45	20	15468146	15470449	13974549	16036115	14302875	16252367	2	RNA5SP475,FLRT3,	4	RNA5SP475,RN7SL864P,FLRT3,MACROD2,	[Not Available]	[Not Available]	[Not Available]	0	20p12.1	7.3239e-07
46	21	36750733	36753341	36157430	37357595	36116351	37095654	1	MIR802,	3	FKSG68,RUNX1,MIR802,	[Not Available]	[Not Available]	[Not Available]	0	21q22.12	0.00011709
47	21	15372509	25529888	22368829	22917558	15372509	26758074	41	RNA5SP489,7SK|ENSG00000232512.2,RN7SL609P,LINC00308,LINC00317,LINC00320,RN7SKP147,RN7SL163P,SNORD74|ENSG00000201025.1,snoU13|ENSG00000238591.1,RNA5SP488,ANKRD20A11P,CYP4F29P,ANKRD30BP2,BAGE2,SNORA70|ENSG00000252199.1,RN7SL52P,TEKT4P2,MIR3648,CXADR,NCAM2,TMPRSS15,HSPA13,TPTE,NRIP1,BTG3,USP25,RBM11,C21orf91,SAMSN1,CHODL,LIPI,ABCC13,POTED,LINC00478,MIRLET7C,MIR125B2,MIR99A,MIR548X,MIR3687,C21orf37,	1	NCAM2,	[Not Available]	[Not Available]	[Not Available]	0	21q21.1	0.00084599
48	22	17423930	18115251	17423930	17840410	17423930	18215520	21	snoU13|ENSG00000251737.1,RN7SL843P,CECR9,CECR3,CECR7,HSFY1P1,TPTEP1,KCNMB3P1,OR11H1,POTEH,ATP6V1E1,IL17RA,BCL2L13,CECR6,CECR5,CECR2,CECR1,SLC25A18,GAB4,CCT8L2,XKR3,	16	RN7SL843P,CECR9,CECR3,CECR7,HSFY1P1,TPTEP1,KCNMB3P1,OR11H1,POTEH,IL17RA,CECR6,CECR5,CECR1,GAB4,CCT8L2,XKR3,	[Not Available]	[Not Available]	[Not Available]	0	22q11.1	0.015552
49	X	32062302	32062999	30873422	34033463	32118084	32608527	2	MIR3915,RNA5SP501,	6	snoU13|ENSG00000238969.1,MIR548F5,MIR3915,RNA5SP501,DMD,FTHL17,	[Not Available]	[Not Available]	[Not Available]	0	Xp21.1	8.658e-37
50	X	44765501	44943618	44729855	44975013	44705439	45007036	2	KDM6A,DUSP21,	1	KDM6A,	[Not Available]	[Not Available]	[Not Available]	0	Xp11.3	1.0788e-09
51	X	96329451	96330494	95939469	96860102	96135808	96598952	2	RN7SL74P,RPA4,	3	RN7SL74P,DIAPH2,RPA4,	[Not Available]	[Not Available]	[Not Available]	0	Xq21.33	0.00065553
52	X	63289404	63504407	63404273	63427953	62996829	64707646	6	RN7SL799P,MTMR8,ZC4H2,AMER1,ASB12,MIR1468,	1	AMER1,	[Not Available]	[Not Available]	[Not Available]	0	Xq11.2	0.035706
